拍數(Beat)   | 時間(Time)     | 強度(Strength)    | 狀態(Status)
280        | 172.327s       | 0.500           |    ...
281        | 172.931s       | 0.549           | ⬤ HIT (出球)
282        | 173.569s       | 0.453           |    ...
283        | 174.208s       | 0.478           |    ...
284        | 174.858s       | 0.419           |    ...
285        | 175.473s       | 0.524           | ⬤ HIT (出球)
286        | 176.089s       | 0.530           | ⬤ HIT (出球)
287        | 176.727s       | 0.489           |    ...
288        | 177.342s       | 0.436           |    ...
289        | 177.946s       | 0.402           |    ...
290        | 178.538s       | 0.415           |    ...
291        | 179.130s       | 0.550           | ⬤ HIT (出球)
292        | 179.780s       | 0.505           | ⬤ HIT (出球)
293        | 180.396s       | 0.489           |    ...
294        | 181.046s       | 0.547           | ⬤ HIT (出球)
295        | 181.685s       | 0.657           | ⬤ HIT (出球)
296        | 182.265s       | 0.717           | ⬤ HIT (出球)
297        | 182.915s       | 0.518           | ⬤ HIT (出球)
298        | 183.531s       | 0.493           |    ...
299        | 184.134s       | 0.466           |    ...
300        | 184.761s       | 0.480           |    ...
301        | 185.365s       | 0.503           | ⬤ HIT (出球)
302        | 185.980s       | 0.573           | ⬤ HIT (出球)
303        | 186.619s       | 0.498           |    ...
304        | 187.222s       | 0.514           | ⬤ HIT (出球)
305        | 187.849s       | 0.448           |    ...
306        | 188.488s       | 0.511           | ⬤ HIT (出球)
307        | 189.219s       | 0.527           | ⬤ HIT (出球)
308        | 189.916s       | 0.469           |    ...
309        | 190.613s       | 0.546           | ⬤ HIT (出球)
310        | 191.216s       | 0.424           |    ...
311        | 191.855s       | 0.417           |    ...
312        | 192.470s       | 0.400           |    ...
313        | 193.086s       | 0.501           | ⬤ HIT (出球)
314        | 193.712s       | 0.473           |    ...
315        | 194.339s       | 0.429           |    ...
316        | 194.955s       | 0.462           |    ...
317        | 195.570s       | 0.464           |    ...
318        | 196.185s       | 0.416           |    ...
319        | 196.801s       | 0.488           |    ...
320        | 197.428s       | 0.454           |    ...
321        | 198.043s       | 0.485           |    ...
322        | 198.658s       | 0.470           |    ...
323        | 199.285s       | 0.449           |    ...
324        | 199.901s       | 0.455           |    ...
325        | 200.504s       | 0.473           |    ...
326        | 201.120s       | 0.458           |    ...
327        | 201.758s       | 0.428           |    ...
328        | 202.362s       | 0.487           |    ...
329        | 202.966s       | 0.479           |    ...
330        | 203.593s       | 0.462           |    ...
331        | 204.220s       | 0.520           | ⬤ HIT (出球)
332        | 204.835s       | 0.528           | ⬤ HIT (出球)
