Index        | Time         | Strength        | Status
378          | 232.652s       | 0.180           |    ...
379          | 233.268s       | 0.503           | ⬤ HIT
380          | 233.883s       | 0.414           | ⬤ HIT
381          | 234.498s       | 0.154           |    ...
382          | 235.125s       | 0.437           | ⬤ HIT
383          | 235.752s       | 0.320           |    ...
384          | 236.391s       | 0.152           |    ...
385          | 236.994s       | 0.464           | ⬤ HIT
386          | 237.598s       | 0.145           |    ...
387          | 238.225s       | 0.176           |    ...
388          | 238.840s       | 0.271           |    ...
389          | 239.479s       | 0.142           |    ...
390          | 240.094s       | 0.167           |    ...
391          | 240.686s       | 0.471           | ⬤ HIT
392          | 241.302s       | 0.394           | ⬤ HIT
393          | 241.929s       | 0.132           |    ...
394          | 242.556s       | 0.398           | ⬤ HIT
395          | 243.183s       | 0.245           |    ...
396          | 243.798s       | 0.324           |    ...
397          | 244.390s       | 0.449           | ⬤ HIT
398          | 245.017s       | 0.313           |    ...
399          | 245.632s       | 0.100           |    ...
400          | 246.271s       | 0.402           | ⬤ HIT
401          | 246.875s       | 0.200           |    ...
402          | 247.525s       | 0.192           |    ...
403          | 248.094s       | 0.467           | ⬤ HIT
